Airline,Airline ID,Source Airport ID,Source Airport,Source Airport Name,Source Airport City,Source Airport Country,Source Airport Latitude,Source Airport Longitude,Source Airport Timezone,Destination airport ID,Destination Airport,Destination Airport Name,Destination Airport City,Destination airport Country,Destination Airport Latitude,Destination Airport Longitude,Destination Airport Timezone,Codeshare,Stops,Equipment
AA,24,3849,BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.1754,-76.668297,-5,3462,PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429947,-112.012001,-7,,0,319 320
AA,24,3561,CAE,Columbia Metropolitan Airport,Columbia,United States,33.93880081,-81.11949921,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,DH8
AA,24,3561,CAE,Columbia Metropolitan Airport,Columbia,United States,33.93880081,-81.11949921,-5,3520,DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5,,0,CRJ
AA,24,3561,CAE,Columbia Metropolitan Airport,Columbia,United States,33.93880081,-81.11949921,-5,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,Y,0,ER4
AA,24,3561,CAE,Columbia Metropolitan Airport,Columbia,United States,33.93880081,-81.11949921,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,Y,0,CRJ
AA,24,4112,CAK,Akron Canton Regional Airport,Akron,United States,40.91609955,-81.44219971,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,CR7 CRJ
AA,24,4112,CAK,Akron Canton Regional Airport,Akron,United States,40.91609955,-81.44219971,-5,3520,DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5,Y,0,CRJ
AA,24,4112,CAK,Akron Canton Regional Airport,Akron,United States,40.91609955,-81.44219971,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,CRJ
AA,24,3578,CHA,Lovell Field,Chattanooga,United States,35.03530121,-85.20379639,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,CRJ DH8
AA,24,3578,CHA,Lovell Field,Chattanooga,United States,35.03530121,-85.20379639,-5,3520,DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5,Y,0,CRJ
